[2019/06/07 21:09:44][CONFIG][initLogger]  Logging initialized.
[2019/06/07 21:09:44][CONFIG][initService]  Starting service...
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Scheme: http://
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Hostname: 0.0.0.0
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Port: 5361
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Path: /api/movies
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Logger output directory: ./logs/
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Logger output file: movies.log
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Database hostname: colin-baker-v3.ics.uci.edu
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Database port: 3306
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Database username: cs122b_db92
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Database password provided? true
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Database name: cs122b_db92
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Database driver: com.mysql.cj.jdbc.Driver
[2019/06/07 21:09:44][CONFIG][currentConfigs]  Database connection settings: ?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/06/07 21:09:44][CONFIG][connectToDatabase]  Connecting to database...
[2019/06/07 21:09:44][CONFIG][connectToDatabase]  Database URL: jdbc:mysql://colin-baker-v3.ics.uci.edu:3306/cs122b_db92?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/06/07 21:09:45][CONFIG][connectToDatabase]  Connected to database: jdbc:mysql://colin-baker-v3.ics.uci.edu:3306/cs122b_db92?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/06/07 21:09:45][CONFIG][initHTTPServer]  Initializing HTTP server...
[2019/06/07 21:09:45][CONFIG][initHTTPServer]  Building URI from movieConfigs...
[2019/06/07 21:09:45][CONFIG][initHTTPServer]  Final URI: http://0.0.0.0:5361/api/movies
[2019/06/07 21:09:45][CONFIG][initHTTPServer]  Set Jersey resources.
[2019/06/07 21:09:45][CONFIG][initHTTPServer]  Set Jackson as serializer.
[2019/06/07 21:09:45][CONFIG][initHTTPServer]  Starting HTTP server...
[2019/06/07 21:09:47][CONFIG][initHTTPServer]  HTTP server started.
[2019/06/07 21:09:47][CONFIG][initService]  Service initialized.
[2019/06/07 21:12:17][INFO][getSearchRequest]  EMAIL: null
[2019/06/07 21:12:17][INFO][getSearchRequest]  SESSIONID: null
[2019/06/07 21:12:17][INFO][getSearchRequest]  TRANSACTIONID: null
[2019/06/07 21:12:17][INFO][getSearchRequest]  Received request to returns only basic info about movie from the movies & ratings tables.
[2019/06/07 21:12:17][INFO][getSearchRequest]  title: Love
[2019/06/07 21:12:17][INFO][getSearchRequest]  genre: 
[2019/06/07 21:12:17][INFO][getSearchRequest]  year: 0
[2019/06/07 21:12:17][INFO][getSearchRequest]  director: 
[2019/06/07 21:12:17][INFO][getSearchRequest]  hidden: false
[2019/06/07 21:12:17][INFO][getSearchRequest]  offset: 0
[2019/06/07 21:12:17][INFO][getSearchRequest]  limit: 0
[2019/06/07 21:12:17][INFO][getSearchRequest]  direction: null
[2019/06/07 21:12:17][INFO][getSearchRequest]  orderby: null
[2019/06/07 21:12:17][INFO][getSearchRequest]  Year is 0.
[2019/06/07 21:12:17][INFO][getSearchRequest]  Check which values are null: {"title":"Love","genre":"","director":"","year":0,"hidden":false,"limit":10,"offset":0,"orderby":"rating","direction":"desc"}
[2019/06/07 21:12:17][INFO][getSearchRequest]  Title: Love
[2019/06/07 21:12:17][INFO][getSearchRequest]  Genre: 
[2019/06/07 21:12:17][INFO][getSearchRequest]  Year: 0
[2019/06/07 21:12:17][INFO][getSearchRequest]  Director: 
[2019/06/07 21:12:17][INFO][getSearchRequest]  hidden: false
[2019/06/07 21:12:17][INFO][getSearchRequest]  Offset: 0
[2019/06/07 21:12:17][INFO][getSearchRequest]  Limit: 10
[2019/06/07 21:12:17][INFO][getSearchRequest]  Sortby: desc
[2019/06/07 21:12:17][INFO][getSearchRequest]  Orderby: rating
[2019/06/07 21:12:17][INFO][retrieveMoviesFromDB]  Trying query:com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movies.id, title, director, year, rating, numVotes FROM movies JOIN ratings ON ratings.movieId = movies.id, genres g, genres_in_movies gm WHERE movies.id = gm.movieId AND gm.genreId = g.id AND movies.year LIKE '%0%' AND movies.director LIKE '%%' AND movies.title LIKE '%Love%' AND g.name LIKE '%%' ORDER BY rating desc, title ASC LIMIT 0, 10;
[2019/06/07 21:12:18][INFO][retrieveMoviesFromDB]  Query succeeded to retrieve movie records.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Creating model...
[2019/06/07 21:12:18][INFO][buildModelFromList]  Movies list is not empty...
[2019/06/07 21:12:18][INFO][buildModelFromList]  Len of Movies list: 10
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie Love Lessons to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie Goodnight, We Love You to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie Love Like Blood to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie Falling. In Love to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie True Love to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie Love and Honor to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie Lovelorn to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie I Love Pinochet to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie For the Love of Dolly to array.
[2019/06/07 21:12:18][INFO][buildModelFromList]  Adding movie Muskrat Lovely to array.
[2019/06/07 21:13:11][INFO][getSearchRequest]  EMAIL: null
[2019/06/07 21:13:11][INFO][getSearchRequest]  SESSIONID: null
